subject,group,block,trial,stimulus,response,correct,confidence
G1_S01,Group 1,1,1,1,1,1,2
G1_S01,Group 1,1,2,0,0,1,2
G1_S01,Group 1,1,3,1,1,1,4
G1_S01,Group 1,1,4,0,0,1,2
G1_S01,Group 1,1,5,0,0,1,1
G1_S01,Group 1,1,6,1,1,1,1
G1_S01,Group 1,1,7,1,1,1,1
G1_S01,Group 1,1,8,0,1,0,2
G1_S01,Group 1,1,9,0,0,1,1
G1_S01,Group 1,1,10,1,1,1,4
G1_S01,Group 1,1,11,0,0,1,3
G1_S01,Group 1,1,12,0,0,1,3
G1_S01,Group 1,1,13,1,0,0,1
G1_S01,Group 1,1,14,1,1,1,1
G1_S01,Group 1,1,15,1,1,1,2
G1_S01,Group 1,1,16,0,1,0,1
G1_S01,Group 1,1,17,0,0,1,1
G1_S01,Group 1,1,18,0,0,1,2
G1_S01,Group 1,1,19,0,0,1,3
G1_S01,Group 1,1,20,0,0,1,3
G1_S01,Group 1,1,21,1,0,0,2
G1_S01,Group 1,1,22,1,0,0,2
G1_S01,Group 1,1,23,1,1,1,3
G1_S01,Group 1,1,24,0,0,1,2
G1_S01,Group 1,1,25,0,0,1,2
G1_S01,Group 1,1,26,1,1,1,3
G1_S01,Group 1,1,27,1,1,1,4
G1_S01,Group 1,1,28,1,0,0,1
G1_S01,Group 1,1,29,1,1,1,1
G1_S01,Group 1,1,30,1,1,1,1
G1_S01,Group 1,1,31,1,1,1,4
G1_S01,Group 1,1,32,1,1,1,1
G1_S01,Group 1,1,33,1,1,1,1
G1_S01,Group 1,1,34,1,0,0,2
G1_S01,Group 1,1,35,0,0,1,4
G1_S01,Group 1,1,36,1,1,1,2
G1_S01,Group 1,1,37,1,1,1,2
G1_S01,Group 1,1,38,0,0,1,2
G1_S01,Group 1,1,39,0,0,1,3
G1_S01,Group 1,1,40,1,1,1,3
G1_S01,Group 1,1,41,1,0,0,2
G1_S01,Group 1,1,42,1,0,0,1
G1_S01,Group 1,1,43,0,0,1,3
G1_S01,Group 1,1,44,0,1,0,2
G1_S01,Group 1,1,45,1,1,1,3
G1_S01,Group 1,1,46,1,1,1,2
G1_S01,Group 1,1,47,1,1,1,1
G1_S01,Group 1,1,48,0,0,1,2
G1_S01,Group 1,1,49,0,0,1,1
G1_S01,Group 1,1,50,1,0,0,2
G1_S01,Group 1,1,51,1,1,1,2
G1_S01,Group 1,1,52,1,1,1,4
G1_S01,Group 1,1,53,1,1,1,1
G1_S01,Group 1,1,54,0,1,0,2
G1_S01,Group 1,1,55,1,1,1,2
G1_S01,Group 1,1,56,0,0,1,1
G1_S01,Group 1,1,57,0,0,1,2
G1_S01,Group 1,1,58,0,0,1,3
G1_S01,Group 1,1,59,0,1,0,1
G1_S01,Group 1,1,60,0,0,1,4
G1_S01,Group 1,1,61,0,0,1,2
G1_S01,Group 1,1,62,0,0,1,4
G1_S01,Group 1,1,63,1,1,1,2
G1_S01,Group 1,1,64,0,0,1,1
G1_S01,Group 1,1,65,1,1,1,3
G1_S01,Group 1,1,66,0,0,1,1
G1_S01,Group 1,1,67,0,1,0,1
G1_S01,Group 1,1,68,0,0,1,2
G1_S01,Group 1,1,69,0,1,0,1
G1_S01,Group 1,1,70,1,1,1,3
G1_S01,Group 1,1,71,0,0,1,2
G1_S01,Group 1,1,72,0,0,1,1
G1_S01,Group 1,1,73,0,0,1,4
G1_S01,Group 1,1,74,0,0,1,4
G1_S01,Group 1,1,75,0,1,0,1
G1_S01,Group 1,1,76,0,1,0,2
G1_S01,Group 1,1,77,0,1,0,2
G1_S01,Group 1,1,78,1,1,1,2
G1_S01,Group 1,1,79,1,1,1,2
G1_S01,Group 1,1,80,1,1,1,1
G1_S01,Group 1,1,81,0,0,1,2
G1_S01,Group 1,1,82,0,0,1,2
G1_S01,Group 1,1,83,0,0,1,4
G1_S01,Group 1,1,84,0,0,1,3
G1_S01,Group 1,1,85,1,0,0,2
G1_S01,Group 1,1,86,0,0,1,3
G1_S01,Group 1,1,87,1,1,1,4
G1_S01,Group 1,1,88,1,1,1,1
G1_S01,Group 1,1,89,0,0,1,3
G1_S01,Group 1,1,90,1,0,0,1
G1_S01,Group 1,1,91,1,0,0,1
G1_S01,Group 1,1,92,0,0,1,4
G1_S01,Group 1,1,93,0,0,1,2
G1_S01,Group 1,1,94,1,1,1,2
G1_S01,Group 1,1,95,1,1,1,3
G1_S01,Group 1,1,96,1,1,1,1
G1_S01,Group 1,1,97,1,1,1,2
G1_S01,Group 1,1,98,1,0,0,1
G1_S01,Group 1,1,99,1,1,1,4
G1_S01,Group 1,1,100,0,1,0,1
G1_S01,Group 1,2,1,0,0,1,2
G1_S01,Group 1,2,2,1,1,1,3
G1_S01,Group 1,2,3,1,1,1,2
G1_S01,Group 1,2,4,1,1,1,4
G1_S01,Group 1,2,5,0,1,0,1
G1_S01,Group 1,2,6,0,1,0,1
G1_S01,Group 1,2,7,0,1,0,1
G1_S01,Group 1,2,8,1,1,1,1
G1_S01,Group 1,2,9,0,0,1,2
G1_S01,Group 1,2,10,1,1,1,2
G1_S01,Group 1,2,11,1,1,1,1
G1_S01,Group 1,2,12,1,1,1,2
G1_S01,Group 1,2,13,1,1,1,4
G1_S01,Group 1,2,14,0,1,0,2
G1_S01,Group 1,2,15,1,1,1,1
G1_S01,Group 1,2,16,0,0,1,4
G1_S01,Group 1,2,17,0,0,1,2
G1_S01,Group 1,2,18,0,1,0,2
G1_S01,Group 1,2,19,0,0,1,1
G1_S01,Group 1,2,20,0,0,1,1
G1_S01,Group 1,2,21,0,0,1,4
G1_S01,Group 1,2,22,1,1,1,4
G1_S01,Group 1,2,23,0,0,1,3
G1_S01,Group 1,2,24,1,1,1,3
G1_S01,Group 1,2,25,1,0,0,1
G1_S01,Group 1,2,26,1,1,1,1
G1_S01,Group 1,2,27,0,0,1,1
G1_S01,Group 1,2,28,1,1,1,1
G1_S01,Group 1,2,29,1,1,1,2
G1_S01,Group 1,2,30,0,0,1,1
G1_S01,Group 1,2,31,1,1,1,2
G1_S01,Group 1,2,32,1,0,0,2
G1_S01,Group 1,2,33,0,0,1,1
G1_S01,Group 1,2,34,1,0,0,1
G1_S01,Group 1,2,35,0,0,1,3
G1_S01,Group 1,2,36,0,1,0,1
G1_S01,Group 1,2,37,0,0,1,1
G1_S01,Group 1,2,38,0,0,1,1
G1_S01,Group 1,2,39,1,0,0,2
G1_S01,Group 1,2,40,0,1,0,2
G1_S01,Group 1,2,41,1,1,1,2
G1_S01,Group 1,2,42,1,1,1,4
G1_S01,Group 1,2,43,1,1,1,1
G1_S01,Group 1,2,44,1,0,0,1
G1_S01,Group 1,2,45,1,0,0,1
G1_S01,Group 1,2,46,1,1,1,3
G1_S01,Group 1,2,47,0,0,1,1
G1_S01,Group 1,2,48,1,1,1,2
G1_S01,Group 1,2,49,1,1,1,2
G1_S01,Group 1,2,50,0,1,0,1
G1_S01,Group 1,2,51,0,0,1,1
G1_S01,Group 1,2,52,0,0,1,4
G1_S01,Group 1,2,53,1,1,1,4
G1_S01,Group 1,2,54,0,0,1,2
G1_S01,Group 1,2,55,0,1,0,1
G1_S01,Group 1,2,56,0,0,1,1
G1_S01,Group 1,2,57,1,0,0,2
G1_S01,Group 1,2,58,1,1,1,2
G1_S01,Group 1,2,59,1,1,1,4
G1_S01,Group 1,2,60,0,0,1,4
G1_S01,Group 1,2,61,0,0,1,4
G1_S01,Group 1,2,62,0,1,0,2
G1_S01,Group 1,2,63,0,1,0,2
G1_S01,Group 1,2,64,1,1,1,1
G1_S01,Group 1,2,65,1,1,1,4
